,prot_dataset,interaction_dataset,FDR_threshold,hit_type,common_pairs,FET_OR,FET_p,FET_p_adj
0,pancan,bronze_standard_SL,0.05,compensation,1298,2.6838968,0.0007208,0.0015726545454545454
0,pancan,strict_comb_hit,0.05,compensation,1216,3.2243857,0.0004289,0.00102936
0,pancan,lenient_comb_hit,0.05,compensation,1216,2.9298097,0.0,0.0
0,pancan,in_PC_CORUM,0.05,compensation,3043,1.7471918,1e-07,4.8e-07
0,pancan,in_PC_CORUM_essential,0.05,compensation,3043,3.3455412,0.0,0.0
0,pancan,in_PC_CORUM_both,0.05,compensation,3043,2.6514464,2.6e-06,1.04e-05
0,pancan,in_PC_EBI,0.05,compensation,3043,2.0665729,1e-07,4.8e-07
0,pancan,in_PC_humap,0.05,compensation,3043,1.9088323,0.0,0.0
0,pancan,closest_pair,0.05,compensation,3043,1.3994546,0.0011773,0.002173476923076923
0,pancan,famsize2,0.05,compensation,3043,1.7231922,0.0001839,0.0004904
0,pancan,other_dir_comp,0.05,compensation,1325,2.8873275,9e-06,3.0857142857142856e-05
0,pancan,other_dir_cl,0.05,compensation,1325,0.3456069,9.1e-05,0.000273
0,pancan,bronze_standard_SL,0.05,collateral_loss,1207,1.214614,0.6057743,0.6608446909090909
0,pancan,strict_comb_hit,0.05,collateral_loss,1142,0.6302132,0.7619576,0.7950861913043478
0,pancan,lenient_comb_hit,0.05,collateral_loss,1142,0.4778668,0.0624825,0.08331000000000001
0,pancan,in_PC_CORUM,0.05,collateral_loss,2905,1.0070194,0.9490495,0.9490495
0,pancan,in_PC_CORUM_essential,0.05,collateral_loss,2905,0.6178207,0.0181223,0.02718345
0,pancan,in_PC_CORUM_both,0.05,collateral_loss,2905,0.1604501,0.0010517,0.0021034
0,pancan,in_PC_EBI,0.05,collateral_loss,2905,1.1231992,0.5142751,0.5877429714285715
0,pancan,in_PC_humap,0.05,collateral_loss,2905,0.9201283,0.5012226,0.5877429714285715
0,pancan,closest_pair,0.05,collateral_loss,2905,0.7701961,0.0450008,0.06353054117647058
0,pancan,famsize2,0.05,collateral_loss,2905,0.5296554,0.0077213,0.01235408
0,pancan,other_dir_comp,0.05,collateral_loss,1316,0.4561852,0.0064788,0.011106514285714285
0,pancan,other_dir_cl,0.05,collateral_loss,1316,1.5491748,0.094828,0.11978273684210526
