,gene_pair,A1,A2,ols_p,ols_coef,n_A2_lost,A2_lost_mean_quant_A1,A2_other_mean_quant_A1,p_adj,compensation,collateral_loss,sorted_gene_pair,bronze_standard_SL,strict_comb_hit,lenient_comb_hit,in_PC_CORUM,in_PC_CORUM_essential,in_PC_CORUM_both,in_PC_EBI,in_PC_humap,closest_pair,famsize2,other_dir_comp,other_dir_cl,dataset,FDR_threshold
0,APPL2_APPL1,APPL2,APPL1,0.7955487244793722,-0.009041419598205369,108,24.76467968768975,24.55387158993869,0.8893138449131213,False,False,APPL1_APPL2,,False,False,True,False,False,False,False,True,True,,,pancan,0.05
1,C3_C4A,C3,C4A,0.003603457124034869,-0.21293496353513475,49,29.409492740997333,29.643297604302475,0.0220947545538138,False,True,C3_C4A,,,,False,False,False,False,False,False,False,False,False,pancan,0.05
2,C3_C4B,C3,C4B,0.003603457124034869,-0.21293496353513475,49,29.409492740997333,29.643297604302475,0.0220947545538138,False,True,C3_C4B,,,,False,False,False,False,False,True,False,False,False,pancan,0.05
3,C4A_C3,C4A,C3,0.19375602584513918,-0.10946014096586659,62,25.580462595329813,25.80629668379433,0.3755101934919795,False,False,C3_C4A,,,,False,False,False,False,False,False,False,False,True,pancan,0.05
4,C4B_C3,C4B,C3,0.04244016143085682,-0.15570383611601613,62,26.171200855948122,26.319712374507162,0.13341822202085601,False,False,C3_C4B,,,,False,False,False,False,False,True,False,False,True,pancan,0.05
5,A2M_C3,A2M,C3,0.0007493173993341842,-0.2494507372583373,62,28.894098599321612,29.009180643025278,0.006859482725768644,False,True,A2M_C3,,,,True,False,False,False,True,False,False,,,pancan,0.05
6,PZP_C3,PZP,C3,0.2349712244649218,-0.11607660929895391,62,22.77843911173701,23.038525308069158,0.42441619349773146,False,False,C3_PZP,,,,False,False,False,False,True,False,False,,,pancan,0.05
7,A2ML1_CD109,A2ML1,CD109,0.3877759130625402,-0.20490836775304544,31,23.020320177671465,23.610156120666712,0.5777507783994926,False,False,A2ML1_CD109,,,,False,False,False,False,False,False,False,,,pancan,0.05
8,A2M_CD109,A2M,CD109,0.0012449630166189805,-0.20619728977286686,84,29.01669256298392,28.999543994845805,0.00994229206278934,False,True,A2M_CD109,,,,True,False,False,False,True,False,False,,,pancan,0.05
9,PZP_CD109,PZP,CD109,0.07485146137269312,-0.15108634492194303,84,22.778050929176164,23.01311020732561,0.20054045486830624,False,False,CD109_PZP,,,,False,False,False,False,True,False,False,,,pancan,0.05
10,SRSF5_SRSF4,SRSF5,SRSF4,0.02900679307584685,0.08917813948201261,87,25.763820690777706,25.691327058445548,0.10122462243733263,False,False,SRSF4_SRSF5,,False,False,True,True,True,False,True,False,False,,,pancan,0.05
11,SRSF1_SRSF4,SRSF1,SRSF4,0.20718853315106053,0.06792788874440117,87,26.836817748321774,26.632067708560943,0.39059306906183394,False,False,SRSF1_SRSF4,,,,True,True,True,False,True,False,False,,,pancan,0.05
12,SRSF5_SRSF9,SRSF5,SRSF9,0.039033121416251884,0.13074245832427542,32,25.909334403111995,25.68625226654855,0.12574280580355332,False,False,SRSF5_SRSF9,,,,True,True,True,False,True,False,False,,,pancan,0.05
13,SRSF1_SRSF9,SRSF1,SRSF9,0.0165198572735743,0.20706751506583548,32,27.06452082535135,26.632138219154555,0.06678115754485611,False,False,SRSF1_SRSF9,,False,False,True,True,True,False,True,True,False,,,pancan,0.05
14,ENTPD4_ENTPD1,ENTPD4,ENTPD1,0.9372832778799655,-0.005411153531001467,68,19.976660580366744,20.702010700897578,0.9677915943389878,False,False,ENTPD1_ENTPD4,False,,,True,False,False,False,False,False,False,False,True,pancan,0.05
15,ENTPD2_ENTPD1,ENTPD2,ENTPD1,0.90391617732195,0.01054230817346713,109,22.149443879360227,19.717456126243103,0.9489977242028654,False,False,ENTPD1_ENTPD2,,False,False,True,False,False,False,False,False,False,,,pancan,0.05
16,ENTPD3_ENTPD1,ENTPD3,ENTPD1,0.720828004468214,0.0335438227349953,124,21.60349336382247,20.8453524426461,0.840960486582574,False,False,ENTPD1_ENTPD3,,False,False,True,False,False,False,False,False,False,,,pancan,0.05
17,ENTPD1_ENTPD4,ENTPD1,ENTPD4,6.086338787970756e-07,-0.1935016624865244,177,24.13627386065712,24.078622505694774,2.57429588735652e-05,False,True,ENTPD1_ENTPD4,False,,,True,False,False,False,False,False,False,False,False,pancan,0.05
