,prot_dataset,interaction_dataset,FDR_threshold,hit_type,common_pairs,FET_OR,FET_p,FET_p_adj
0,pancan,bronze_standard_SL,0.05,compensation,1287,1.427848,0.2332866,0.3110488
0,pancan,strict_comb_hit,0.05,compensation,1205,0.8269283,0.8449087,0.8816438608695651
0,pancan,lenient_comb_hit,0.05,compensation,1205,1.7742302,0.0043585,0.0104604
0,pancan,in_PC_CORUM,0.05,compensation,3007,1.3409595,0.0049384,0.01077469090909091
0,pancan,in_PC_CORUM_essential,0.05,compensation,3007,1.9938741,0.0,0.0
0,pancan,in_PC_CORUM_both,0.05,compensation,3007,1.7177669,0.0135554,0.02502535384615385
0,pancan,in_PC_EBI,0.05,compensation,3007,1.3403438,0.0410988,0.0616482
0,pancan,in_PC_humap,0.05,compensation,3007,1.7275006,3e-07,3.6e-06
0,pancan,closest_pair,0.05,compensation,3007,1.2869527,0.0146741,0.0251556
0,pancan,famsize2,0.05,compensation,3007,1.468214,0.0096385,0.019277
0,pancan,other_dir_comp,0.05,compensation,1311,2.7834329,8e-07,6.4e-06
0,pancan,other_dir_cl,0.05,compensation,1311,0.472365,0.0019751,0.0059253000000000005
0,pancan,bronze_standard_SL,0.05,collateral_loss,1211,1.0514707,0.8233043,0.8816438608695651
0,pancan,strict_comb_hit,0.05,collateral_loss,1143,0.6353483,0.6140209,0.7017381714285714
0,pancan,lenient_comb_hit,0.05,collateral_loss,1143,0.7350606,0.3872277,0.4891297263157895
0,pancan,in_PC_CORUM,0.05,collateral_loss,2916,1.0089399,0.9520467,0.9520467
0,pancan,in_PC_CORUM_essential,0.05,collateral_loss,2916,0.4617217,5.6e-05,0.0002688
0,pancan,in_PC_CORUM_both,0.05,collateral_loss,2916,0.4052942,0.0255039,0.04080624
0,pancan,in_PC_EBI,0.05,collateral_loss,2916,1.1341052,0.4381911,0.5258293199999999
0,pancan,in_PC_humap,0.05,collateral_loss,2916,0.8030638,0.0642699,0.09073397647058824
0,pancan,closest_pair,0.05,collateral_loss,2916,0.6125303,7.33e-05,0.0002932
0,pancan,famsize2,0.05,collateral_loss,2916,0.5015325,0.001665,0.005708571428571428
0,pancan,other_dir_comp,0.05,collateral_loss,1303,0.489737,0.0033499,0.008933066666666666
0,pancan,other_dir_cl,0.05,collateral_loss,1303,2.9645699,2e-06,1.2e-05
